Libro;LIB-001;Cien años de soledad;Gabriel García Márquez;1967;3;3;471
Libro;LIB-002;1984;George Orwell;1949;5;3;328
Libro;LIB-003;El Principito;Antoine de Saint-Exupéry;1943;10;3;96
Libro;LIB-004;Fundación;Isaac Asimov;1951;3;3;255
Libro;LIB-005;Don Quijote de la Mancha;Miguel de Cervantes;1605;1;3;1032
Revista;REV-001;National Geographic;Varios;2023;12;3;1452
Revista;REV-002;Scientific American;Varios;2024;8;3;1120
Revista;REV-003;Time Magazine;Varios;2022;15;3;5480
Revista;REV-004;Vogue;Varios;2023;6;3;912
Revista;REV-005;The New Yorker;Varios;2024;10;3;5501
PeliculaDVD;DVD-001;Inception;Christopher Nolan;2010;4;3;148
PeliculaDVD;DVD-002;The Matrix;Lana y Lilly Wachowski;1999;7;3;136
PeliculaDVD;DVD-003;Pulp Fiction;Quentin Tarantino;1994;3;3;154
PeliculaDVD;DVD-004;Parasite;Bong Joon-ho;2019;5;3;132
PeliculaDVD;DVD-005;Blade Runner 2049;Denis Villeneuve;2017;3;3;164
